instagram,TikTok,ins_followers,aViews,aLikes,aComments,tikFollowers,InstaLink,TikTokLink,name
gabbymurrayy,gabby_murrayy,440156,1710228,258630,350,8865944,https://www.instagram.com/gabbymurrayy,https://www.tiktok.com/@gabby_murrayy?,Gabby Murray
kennedyffarrell,heyimken,1929,848561,275696,1473,358727,https://www.instagram.com/kennedyffarrell,https://www.tiktok.com/@heyimken?,kennedy
sidney.thomasson,sidneythomasson,9922,860,58,0,60219,https://www.instagram.com/sidney.thomasson,https://www.tiktok.com/@sidneythomasson?,Sidney Thomasson
charlottearts_,charlottearts,7090,180846,15808,461,359624,https://www.instagram.com/charlottearts_,https://www.tiktok.com/@charlottearts?,Charlotte Arts
imthatlauren,imthatlauren,17443,17420,2842,14,2131128,https://www.instagram.com/imthatlauren,https://www.tiktok.com/@imthatlauren?,Lauren Babin
brianasprinz,brianasprinz,22174,78573,6302,380,1132695,https://www.instagram.com/brianasprinz,https://www.tiktok.com/@brianasprinz?,briana
hannahmaedugmore,hmddancer722,87998,27672,3920,17,4218247,https://www.instagram.com/hannahmaedugmore,https://www.tiktok.com/@hmddancer722?,Hannah Mae 🌊
heyitslanilynn,lani.baker,391613,85246,13716,36,4997299,https://www.instagram.com/heyitslanilynn,https://www.tiktok.com/@lani.baker?,Lani Randol (Baker) 
cosette,cosette,66868,9209,1228,10,2324616,https://www.instagram.com/cosette,https://www.tiktok.com/@cosette?,cosette
carrieberkk,carrieberkk,556350,84567,6445,94,2393501,https://www.instagram.com/carrieberkk,https://www.tiktok.com/@carrieberkk?,Carrie Berk
oceangela,oceangela,13561,3438,596,6,1387636,https://www.instagram.com/oceangela,https://www.tiktok.com/@oceangela?,Ocean Angela
ariana_lee99,arianalee99,922098,331046,62964,194,11835725,https://www.instagram.com/ariana_lee99,https://www.tiktok.com/@arianalee99?,Ariana Lee🦋
mckenziechallan1,mckenziechallan,5376,1739,149,1,464822,https://www.instagram.com/mckenziechallan1,https://www.tiktok.com/@mckenziechallan?,Mckenzie challan 
itsmaddiegw,maddiegw,40327,5928,618,4,1068872,https://www.instagram.com/itsmaddiegw,https://www.tiktok.com/@maddiegw?,maddie gw
emxlydavis,emxlydavis,38605,22625,3917,15,1440910,https://www.instagram.com/emxlydavis,https://www.tiktok.com/@emxlydavis?,Emily Davis ✰
mccallmirabela,mccallmirabella,10310,11276,1404,11,453793,https://www.instagram.com/mccallmirabela,https://www.tiktok.com/@mccallmirabella?,McCall
briannarenee,briannaxrenee,80287,809936,42046,114,544375,https://www.instagram.com/briannarenee,https://www.tiktok.com/@briannaxrenee?,brianna renee
danizvulun,danizvulun,24621,10560,1335,20,2017941,https://www.instagram.com/danizvulun,https://www.tiktok.com/@danizvulun?,Dani Zvulun
katesalm0n,katesalm0n,4042,1546,147,2,686902,https://www.instagram.com/katesalm0n,https://www.tiktok.com/@katesalm0n?,Kate Salm0n
ameliagething,ameliagething,293766,64227,7196,70,7096492,https://www.instagram.com/ameliagething,https://www.tiktok.com/@ameliagething?,amelia.
jchelle36,jchelle36,4186,5428,782,4,460209,https://www.instagram.com/jchelle36,https://www.tiktok.com/@jchelle36?,jchelle28
carissareeseee,carissareese1,17206,72556,6193,30,941575,https://www.instagram.com/carissareeseee,https://www.tiktok.com/@carissareese1?,Carissa Reese
alanaclemm,alanaclem,121992,376594,73932,770,2993756,https://www.instagram.com/alanaclemm,https://www.tiktok.com/@alanaclem?,alana clements:)
allifrash,allifrash,11264,2822,292,2,225005,https://www.instagram.com/allifrash,https://www.tiktok.com/@allifrash?,Alli Frasher
harperkaminski,harperkaminski,7436,6982,1035,5,456126,https://www.instagram.com/harperkaminski,https://www.tiktok.com/@harperkaminski?,harps
itslivklein,itslivklein,4162,780,58,0,176996,https://www.instagram.com/itslivklein,https://www.tiktok.com/@itslivklein?,liv
heaven.knizek,hheavennina,34216,3114,350,4,463182,https://www.instagram.com/heaven.knizek,https://www.tiktok.com/@hheavennina?,heaven
maddie_burch,maddie_burch,32600,30560,1270,14,202000,https://www.instagram.com/maddie_burch,https://www.tiktok.com/@maddie_burch?,Maddie Burch 
olivia.archerr,xoxo.baldgirl,14449,118084,3722,60,1328695,https://www.instagram.com/olivia.archerr,https://www.tiktok.com/@xoxo.baldgirl?,olivia archer
kacishiers,kaci_shiers,19031,308540,56445,76,928798,https://www.instagram.com/kacishiers,https://www.tiktok.com/@kaci_shiers?,Kaci Shiers
courtney.graceeee,iits.courtneygrace,2869,1541,328,5,158173,https://www.instagram.com/courtney.graceeee,https://www.tiktok.com/@iits.courtneygrace?,💖Courtney💖
gracemorriis,graceemorriis,3035,8985,1561,46,146580,https://www.instagram.com/gracemorriis,https://www.tiktok.com/@graceemorriis?,Grace Morris
samboderek,samboderek,10117,1737,322,2,150087,https://www.instagram.com/samboderek,https://www.tiktok.com/@samboderek?,baby g
